Categoria	Grupo	Família	Espécie	Nome Comum
CR	Aves	Cracidae	Aburria jacutinga	jacutinga
CR	Aves	Accipitridae	Accipiter poliogaster	tauató-pintado
VU	Aves	Accipitridae	Accipiter superciliosus	gavião- miudinho
CR	Aves	Psittacidae	Amazona brasiliensis	papagaio-de- cara-roxa
EN	Aves	Psittacidae	Amazona pretrei	papagaio- charão
EN	Aves	Psittacidae	Amazona vinacea	papagaio-de- peito-roxo
EN	Aves	Motacilidae	Anthus nattereri	caminheiro- grande
VU	Aves	Strigidae	Asio flammeus	mocho-dos- banhados
VU	Aves	Accipitridae	Buteo melanoleucus	águia-chilena
EN	Aves	Cotingidae	Carpornis melanocephala	sabiá-pimenta
VU	Aves	Alcedinidae	Chloroceryle aenea	martinho
EN	Aves	Alcedinidae	Chloroceryle inda	martim-pescador-da- mata
VU	Aves	Furnariidae	Cinclodes pabsti	pedreiro
EN	Aves	Thraupidae	Cissopis leverianus	tietinga
CR	Aves	Trogloditydae	Cistothorus platensis	corruíra-do- campo
CR	Aves	Columbidae	Claravis godefrida	pararu-espelho
VU	Aves	Thraupidae	Conirostrum bicolor	figuinha-do- mangue
EN	Aves	Tyrannidae	Corythopis delalandi	estalador
VU	Aves	Cuculidae	Crotophaga major	anu-coroca
EN	Aves	Tinamidae	Crypturellus noctivagus	jaó-do-sul
CR	Aves	Tyrannidae	Culicivora caudacuta	papa-moscas- do-campo
CR	Aves	Diomedeidae	Diomedea dabbenena	albatroz-de- tristão
VU	Aves	Diomedeidae	Diomedea epomophora	albatroz-real
VU	Aves	Diomedeidae	Diomedea exulans	albatroz- gigante
EN	Aves	Diomedeidae	Diomedea sanfordi	albatroz-real- do-norte
EN	Aves	Thamnophilidae	Drymophila squamata	pintadinho
VU	Aves	Picidae	Dryocopus galeatus	pica-pau-de- cara-canela
EN	Aves	Caprimulgidae	Eleothreptus anomalus	curiango-do- banhado
CR	Aves	Threskiornitidae	Eudocimus ruber	guará
CR	Aves	Falconidae	Falco deiroleucus	falcão-de-  peito-laranja
VU	Aves	Scolopacidae	Gallinago undulata	narcejão
VU	Aves	Scleruridae	Geositta cunicularia	curriqueiro
CR	Aves	Accipitridae	Harpia harpyja	gavião-real
CR	Aves	Accipitridae	Harpyhaliaetus coronatus	águia-cinzenta
CR	Aves	Heliornithidae	Heliornis fulica	picaparra
EN	Aves	Tyrannidae	Hemitriccus diops	olho-falso
VU	Aves	Tyrannidae	Hemitriccus kaempferi	maria- catarinense
VU	Aves	Accipitridae	Leucopternis lacernulatus	gavião- pombo-  pequeno
CR	Aves	Furnariidae	Limnoctites rectirostris	junqueiro-de- bico-reto
EN	Aves	Cotingidae	Lipaugus lanioides	tropeiro-da- serra
VU	Aves	Rhinocryptidae	Merulaxis ater	entufado
CR	Aves	Accipitridae	Morphnus guianensis	uiraçu-falso
VU	Aves	Tyrannidae	Myiobius atricaudus	assanhadinho- de-cauda-  preta
EN	Aves	Tyrannidae	Myiobius barbatus	assanhadinho
VU	Aves	Thamnophilidae	nigropectus	papo-branco
VU	Aves	Bucconidae	Notharchus swainsoni	macuru-de-  barriga- castanha
CR	Aves	Tyrannidae	Onychorhynchus swainsoni	maria-leque- do-sudeste
VU	Aves	Cracidae	Penelope superciliaris	jacupemba
VU	Aves	Furnariidae	Phacellodomus striaticollis	tio-tio
EN	Aves	Cotingidae	Phibalura flavirostris	tesourinha-da- mata
EN	Aves	Tyrannidae	Phylloscartes difficilis	estalinho
CR	Aves	Tyrannidae	Phylloscartes eximius	barbudinho
VU	Aves	Tyrannidae	Phylloscartes oustaleti	papa-moscas- de-olheiras
EN	Aves	Tyrannidae	Phylloscartes sylviolus	maria-pequena
VU	Aves	Picidae	Piculus flavigula	pica-pau- bufador
EN	Aves	Cotingidae	Piprites pileata	caneleirinho- de-chapéu-  preto
VU	Aves	Tyrannidae	Platyrinchus leucoryphus	patinho- gigante
VU	Aves	Polioptilidae	Polioptila lactea	balança-rabo- leitoso
CR	Aves	Tyrannidae	Polystictus pectoralis	papa-moscas- canela
CR	Aves	Psittacidae	Primolius  maracana	maracanã-  verdadeira
VU	Aves	Procellariidae	Procellaria aequinoctialis	pardela-preta
VU	Aves	Procellariidae	Procellaria conspicillata	pardela-de- óculos
EN	Aves	Procellariidae	Pterodroma incerta	grazina-de- barriga-branca
CR	Aves	Ramphastidae	Pteroglossus aracari	araçari-de- bico-branco
